LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015
100.8748974,20.70964668,459,459,22,22,1,1,0,1,1,0,1,1
101.2102728,20.67298432,460,460,22,22,1,1,0,1,1,0,1,1
101.4898623,20.72086853,464,464,22,22,1,1,0,1,1,0,1,1
101.8786169,19.84777675,466,466,44,44,1,1,0,1,1,0,1,1
100.5963039,19.59862897,469,469,22,22,1,1,0,1,1,0,1,1
101.6721939,18.94105544,473,473,11,11,1,1,0,1,1,0,1,1
103.6165119,20.67796538,478,478,22,22,1,1,0,1,1,0,1,1
103.1022453,20.01757875,485,485,22,22,1,1,0,1,1,0,1,1
103.89296,20.48210008,486,486,44,44,1,1,0,1,1,0,1,1
100.6533033,20.25949529,491,491,11,11,1,1,0,1,1,0,1,1
101.3372113,20.75178693,494,494,22,22,1,1,0,1,1,0,1,1
101.3087809,19.11255306,499,499,11,11,1,1,0,1,1,0,1,1
102.6062945,20.90826779,500,500,22,22,1,1,0,1,1,0,1,1
104.1270637,20.23351153,504,504,22,22,1,1,0,1,1,0,1,1
102.4135552,19.63773432,505,505,44,44,1,1,0,1,1,0,1,1
101.5004058,19.71351339,507,507,22,22,1,1,0,1,1,0,1,1
101.4762246,18.86975079,509,509,22,22,1,1,0,1,1,0,1,1
100.8085822,20.91364527,511,511,22,22,1,1,0,1,1,0,1,1
101.2687861,18.61776014,513,513,22,22,1,1,0,1,1,0,1,1
100.6534074,20.56191037,517,517,11,11,1,1,0,1,1,0,1,1
100.2504499,20.43504661,524,524,22,22,1,1,0,1,1,0,1,1
100.9224512,20.75921159,526,526,22,22,1,1,0,1,1,0,1,1
101.4284789,20.85954558,529,529,11,11,1,1,0,1,1,0,1,1
104.8215309,19.98157444,537,537,44,44,1,1,0,1,1,0,1,1
101.6247858,18.67918419,539,539,22,22,1,1,0,1,1,0,1,1
101.3736567,18.1661019,542,542,22,22,1,1,0,1,1,0,1,1
103.762151,20.25787957,544,544,22,22,1,1,0,1,1,0,1,1
103.2823863,19.98337439,552,552,22,22,1,1,0,1,1,0,1,1
100.8712628,21.07371292,564,564,22,22,1,1,0,1,1,0,1,1
102.1099647,19.93753501,565,565,22,22,1,1,0,1,1,0,1,1
100.7524555,20.38637024,573,573,22,22,1,1,0,1,1,0,1,1
100.5741604,20.64077021,574,574,22,22,1,1,0,1,1,0,1,1
102.3958255,20.30060606,575,575,22,22,1,1,0,1,1,0,1,1
102.2395741,19.81310561,579,579,22,22,1,1,0,1,1,0,1,1
103.9760905,20.56826217,580,580,22,22,1,1,0,1,1,0,1,1
101.4706896,21.1828074,583,583,11,11,1,1,0,1,1,0,1,1
101.5214759,20.84792814,584,584,22,22,1,1,0,1,1,0,1,1
103.4772686,20.25590773,590,590,22,22,1,1,0,1,1,0,1,1
102.5790062,20.70362939,598,598,44,44,1,1,0,1,1,0,1,1
101.3045293,18.86695763,606,606,11,11,1,1,0,1,1,0,1,1
101.3301741,18.66769391,613,613,22,22,1,1,0,1,1,0,1,1
101.5720003,20.06630369,615,615,22,22,1,1,0,1,1,0,1,1
101.1892069,20.73341033,617,617,22,22,1,1,0,1,1,0,1,1
101.2096874,18.51724286,619,619,22,22,1,1,0,1,1,0,1,1
101.3551206,18.92047197,631,631,22,22,1,1,0,1,1,0,1,1
101.5791561,18.63124605,634,634,22,22,1,1,0,1,1,0,1,1
103.1513913,20.3722781,636,636,22,22,1,1,0,1,1,0,1,1
103.5456448,20.46788611,645,645,22,22,1,1,0,1,1,0,1,1
101.5695165,20.63341211,647,647,22,22,1,1,0,1,1,0,1,1
100.7227343,20.76300508,648,648,11,11,1,1,0,1,1,0,1,1
101.2022182,20.70771809,654,654,22,22,1,1,0,1,1,0,1,1
100.435668,20.43839015,662,662,22,22,1,1,0,1,1,0,1,1
101.5832826,20.17995689,667,667,22,22,1,1,0,1,1,0,1,1
100.650502,20.32894288,668,668,11,11,1,1,0,1,1,0,1,1
102.4056197,19.72213895,671,671,22,22,1,1,0,1,1,0,1,1
103.3546296,20.20276613,674,674,22,22,1,1,0,1,1,0,1,1
102.2768893,20.63059046,675,675,22,22,1,1,0,1,1,0,1,1
102.2564918,19.45798566,677,677,22,22,1,1,0,1,1,0,1,1
103.2290712,20.83755016,679,679,22,22,1,1,0,1,1,0,1,1
101.9950085,20.96224106,687,687,22,22,1,1,0,1,1,0,1,1
103.4059531,20.73793477,690,690,44,44,1,1,0,1,1,0,1,1
100.6461499,19.63419617,693,693,11,11,1,1,0,1,1,0,1,1
103.755792,20.15456629,699,699,22,24,1,1,0,1,1,0,1,1
104.3940052,20.12484741,706,706,11,11,1,1,0,1,1,0,1,1
101.7323991,19.07832965,710,710,22,22,1,1,0,1,1,0,1,1
102.661154,20.01094598,715,715,44,44,1,1,0,1,1,0,1,1
102.6093517,20.32586936,717,717,22,22,1,1,0,1,1,0,1,1
100.379716,20.77141426,718,718,11,11,1,1,0,1,1,0,1,1
103.7047497,20.5282296,722,722,22,22,1,1,0,1,1,0,1,1
100.8460148,21.29628656,727,727,44,44,1,1,0,1,1,0,1,1
101.2174567,18.31791371,730,730,22,22,1,1,0,1,1,0,1,1
100.6227007,20.78130826,738,738,22,22,1,1,0,1,1,0,1,1
101.6950867,18.77493816,740,740,22,22,1,1,0,1,1,0,1,1
100.7387534,20.50857951,743,743,22,22,1,1,0,1,1,0,1,1
101.6265696,21.02870785,744,744,44,44,1,1,0,1,1,0,1,1
100.7227268,19.94172519,746,746,22,22,1,1,0,1,1,0,1,1
103.3127257,20.62404215,751,751,22,22,1,1,0,1,1,0,1,1
101.0628638,20.83555174,755,755,22,22,1,1,0,1,1,0,1,1
101.2113468,20.68762208,762,762,11,11,1,1,0,1,1,0,1,1
101.674653,18.64243755,763,763,11,11,1,1,0,1,1,0,1,1
103.1324217,20.1325274,766,766,11,11,1,1,0,1,1,0,1,1
102.9178596,20.99932178,767,767,44,44,1,1,0,1,1,0,1,1
102.4237095,20.33325387,768,768,44,44,1,1,0,1,1,0,1,1
104.0102901,20.26108234,770,770,22,22,1,1,0,1,1,0,1,1
