post_strat_coded,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,GIS,CEO
133,103,2017,100,100,100,131,133,1,140738343,140738343
133,103,2016,100,100,100,131,133,1,140738344,140738344
133,103,2016,100,100,100,131,133,1,140738345,140738345
133,103,2017,100,100,100,131,133,1,140738346,140738346
133,103,2015,100,100,100,131,133,1,140738347,140738347
133,103,2015,100,100,100,131,133,1,140738348,140738348
133,103,2015,100,100,100,131,133,1,140738349,140738349
133,103,2017,100,100,100,131,133,1,140738350,140738350
133,103,2016,100,100,100,131,133,1,140738351,140738351
133,103,2017,100,100,100,131,133,1,140738352,140738352
133,103,2016,100,100,100,131,133,1,140738353,140738353
133,103,2016,100,100,100,131,133,1,140738354,140738354
133,103,2016,100,100,100,131,133,1,140738355,140738355
133,103,2016,100,100,100,131,133,1,140738356,140738356
133,103,2015,100,100,100,131,133,1,140738357,140738357
233,203,2015,200,200,200,231,233,2,140738358,140742371
233,203,2016,200,200,200,231,233,2,140738359,140742372
233,203,2016,200,200,200,231,233,2,140738360,140742373
233,203,2016,200,200,200,231,233,2,140738361,140742374
233,203,2017,200,200,200,231,233,2,140738362,140742375
233,203,2018,200,200,200,231,233,2,140738363,140742376
233,203,2015,200,200,200,231,233,2,140738364,140742377
233,203,2015,200,200,200,231,233,2,140738365,140742378
233,203,2015,200,200,200,231,233,2,140738366,140742379
233,203,2019,200,200,200,231,233,2,140738367,140742380
233,203,2018,200,200,200,231,233,2,140738368,140738368
233,203,2017,200,200,200,231,233,2,140738369,140738369
233,203,2017,200,200,200,231,233,2,140738370,140738370
233,203,2015,200,200,200,231,233,2,140738371,140738371
233,203,2016,200,200,200,231,233,2,140738372,140738372
233,203,2015,200,200,200,231,233,2,140738373,140738373
233,203,2016,200,200,200,231,233,2,140738374,140738374
233,203,2015,200,200,200,231,233,2,140738375,140738375
233,203,2015,200,200,200,231,233,2,140738376,140738376
233,203,2017,200,200,200,231,233,2,140738377,140738377
233,203,2017,200,200,200,231,233,2,140738378,140738378
233,203,2016,200,200,200,231,233,2,140738379,140738379
233,203,2019,200,200,200,231,233,2,140738380,140738380
233,203,2015,200,200,200,231,233,2,140738381,140738381
233,203,2015,200,200,200,231,233,2,140738382,140738382
233,203,2016,200,200,200,231,233,2,140738383,140738383
233,203,2015,200,200,200,231,233,2,140738384,140738384
233,203,2017,200,200,200,231,233,2,140738385,140738385
233,203,2016,200,200,200,231,233,2,140738386,140738386
233,203,2018,200,200,200,231,233,2,140738387,140738387
251,200,0,211,200,200,251,251,2,140738388,140738388
251,200,0,211,200,200,251,251,2,140738389,140738389
251,200,0,211,200,200,251,251,2,140738390,140738390
251,200,0,211,200,200,251,251,2,140738391,140738391
251,200,0,211,200,200,251,251,2,140738392,140738392
251,200,0,211,200,200,251,251,2,140738393,140738393
251,200,0,211,200,200,251,251,2,140738394,140738394
254,204,2019,200,200,200,251,251,2,140738395,140738395
251,200,0,211,200,200,251,251,2,140738396,140738396
251,200,0,211,200,200,251,251,2,140738397,140738397
251,200,0,211,200,200,251,251,2,140738398,140738398
251,200,0,211,200,200,251,251,2,140738399,140738399
251,200,0,211,200,200,251,251,2,140738400,140738400
251,200,0,211,200,200,251,251,2,140738401,140738401
251,200,0,211,200,200,251,251,2,140738402,140738402
251,200,0,211,200,200,251,251,2,140738403,140738403
251,200,0,211,200,200,251,251,2,140738404,140738404
251,200,0,211,200,200,251,251,2,140738405,140738405
254,204,2018,200,200,200,251,251,2,140738406,140738406
251,200,0,211,200,200,251,251,2,140738407,140738407
251,200,0,211,200,200,251,251,2,140738408,140738408
251,200,0,211,200,200,251,251,2,140738409,140738409
251,200,0,211,200,200,251,251,2,140738410,140738410
251,200,0,211,200,200,251,251,2,140738411,140738411
251,200,0,211,200,200,251,251,2,140738412,140738412
251,200,0,211,200,200,251,251,2,140738413,140738413
251,200,0,211,200,200,251,251,2,140738414,140738414
251,200,2017,211,200,200,251,251,2,140738415,140738415
251,200,0,211,200,200,251,251,2,140738416,140738416
251,200,0,211,200,200,251,251,2,140738417,140738417
333,303,2017,300,300,300,331,333,3,140738418,140738418
333,303,2017,300,300,300,331,333,3,140738419,140738419
333,303,2019,300,300,300,331,333,3,140738420,140738420
333,303,2015,300,300,300,331,333,3,140738421,140738421
333,303,2019,300,300,300,331,333,3,140738422,140738422
333,303,2019,300,300,300,331,333,3,140738423,140738423
333,303,2016,300,300,300,331,333,3,140738424,140738424
333,303,2019,300,300,300,331,333,3,140738425,140738425
333,303,2019,300,300,300,331,333,3,140738426,140738426
333,303,2019,300,300,300,331,333,3,140738427,140738427
333,303,2015,300,300,300,331,333,3,140738428,140738428
333,303,2015,300,300,300,331,333,3,140738429,140738429
333,303,2019,300,300,300,331,333,3,140738430,140738430
333,303,2017,300,300,300,331,333,3,140738431,140738431
333,303,2017,300,300,300,331,333,3,140738432,140738432
333,303,2019,300,300,300,331,333,3,140738433,140738433
333,303,2016,300,300,300,331,333,3,140738434,140738434
333,303,2017,300,300,300,331,333,3,140738435,140738435
333,303,2019,300,300,300,331,333,3,140738436,140738436
333,303,2015,300,300,300,331,333,3,140738437,140738437
333,303,2018,300,300,300,331,333,3,140738438,140738438
333,303,2015,300,300,300,331,333,3,140738439,140738439
333,303,2015,300,300,300,331,333,3,140738440,140738440
333,303,2016,300,300,300,331,333,3,140738441,140738441
333,303,2018,300,300,300,331,333,3,140738442,140738442
333,303,2019,300,300,300,331,333,3,140738443,140738443
333,303,2019,300,300,300,331,333,3,140738444,140738444
333,303,2015,300,300,300,331,333,3,140738445,140738445
333,303,2017,300,300,300,331,333,3,140738446,140738446
333,303,2019,300,300,300,331,333,3,140738447,140738447
