post_strat_coded,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,plot_id
344,304,2019,311,300,300,341,341,3,139342261
344,304,2018,311,300,300,341,341,3,139342262
344,304,2016,311,300,300,341,341,3,139342263
344,304,2016,311,300,300,341,341,3,139342264
344,304,2017,311,300,300,341,341,3,139342265
344,304,2018,311,300,300,341,341,3,139342266
344,304,2016,311,300,300,341,341,3,139342267
344,304,2019,311,300,300,341,341,3,139342268
344,304,2019,311,300,300,341,341,3,139342269
344,304,2018,311,300,300,341,341,3,139342270
344,304,2019,311,300,300,341,341,3,139342271
344,304,2019,311,300,300,341,341,3,139342272
344,304,2016,311,300,300,341,341,3,139342273
344,304,2019,311,300,300,341,341,3,139342274
111,100,0,111,100,100,111,111,1,139378022
111,100,0,111,100,100,111,111,1,139378023
111,100,0,111,100,100,111,111,1,139378024
111,100,0,111,100,100,111,111,1,139378025
111,100,0,111,100,100,111,111,1,139378026
111,100,0,111,100,100,111,111,1,139378027
111,100,0,111,100,100,111,111,1,139378028
111,100,0,111,100,100,111,111,1,139378029
111,100,0,111,100,100,111,111,1,139378030
111,100,0,111,100,100,111,111,1,139378031
121,100,0,100,122,100,121,121,1,139378032
121,100,0,100,122,100,121,121,1,139378033
121,100,0,100,122,100,121,121,1,139378034
121,100,0,100,122,100,121,121,1,139378035
121,100,0,100,122,100,121,121,1,139378036
121,100,0,100,122,100,121,121,1,139378037
121,100,0,100,122,100,121,121,1,139378038
121,100,0,100,122,100,121,121,1,139378039
121,100,0,100,122,100,121,121,1,139378040
121,100,0,100,112,100,121,121,1,139378041
131,104,2015,100,100,100,131,131,1,139378042
131,104,2018,100,100,100,131,131,1,139378043
131,104,2018,100,100,100,131,131,1,139378044
131,104,2017,100,100,100,131,131,1,139378045
131,104,2018,100,100,100,131,131,1,139378046
131,104,2018,100,100,100,131,131,1,139378047
133,103,2016,100,100,100,131,133,1,139378048
131,104,2017,100,100,100,131,131,1,139378049
131,104,2016,100,100,100,131,131,1,139378050
131,104,2015,100,100,100,131,131,1,139378051
144,104,2018,111,100,100,141,141,1,139378052
144,104,2016,111,100,100,141,141,1,139378053
144,104,2016,111,100,100,141,141,1,139378054
143,103,2015,111,100,100,141,141,1,139378055
144,104,2018,111,100,100,141,141,1,139378056
144,104,2016,111,100,100,141,141,1,139378057
144,104,2015,111,100,100,141,141,1,139378058
144,104,2018,111,100,100,141,141,1,139378059
144,104,2016,111,100,100,141,141,1,139378060
143,103,2015,111,100,100,141,141,1,139378061
133,103,2015,100,100,100,131,133,1,140738328
133,103,2016,100,100,100,131,133,1,140738329
133,103,2015,100,100,100,131,133,1,140738330
133,103,2015,100,100,100,131,133,1,140738331
133,103,2016,100,100,100,131,133,1,140738332
133,103,2017,100,100,100,131,133,1,140738333
133,103,2017,100,100,100,131,133,1,140738334
133,103,2015,100,100,100,131,133,1,140738335
133,103,2016,100,100,100,131,133,1,140738336
133,103,2018,100,100,100,131,133,1,140738337
133,103,2015,100,100,100,131,133,1,140738338
133,103,2017,100,100,100,131,133,1,140738339
133,103,2016,100,100,100,131,133,1,140738340
133,103,2016,100,100,100,131,133,1,140738341
133,103,2016,100,100,100,131,133,1,140738342
133,103,2017,100,100,100,131,133,1,140738343
133,103,2016,100,100,100,131,133,1,140738344
133,103,2016,100,100,100,131,133,1,140738345
133,103,2017,100,100,100,131,133,1,140738346
133,103,2015,100,100,100,131,133,1,140738347
133,103,2015,100,100,100,131,133,1,140738348
133,103,2015,100,100,100,131,133,1,140738349
133,103,2017,100,100,100,131,133,1,140738350
133,103,2016,100,100,100,131,133,1,140738351
133,103,2017,100,100,100,131,133,1,140738352
133,103,2016,100,100,100,131,133,1,140738353
133,103,2016,100,100,100,131,133,1,140738354
133,103,2016,100,100,100,131,133,1,140738355
133,103,2016,100,100,100,131,133,1,140738356
133,103,2015,100,100,100,131,133,1,140738357
233,203,2015,200,200,200,231,233,2,140738358
233,203,2016,200,200,200,231,233,2,140738359
233,203,2016,200,200,200,231,233,2,140738360
233,203,2016,200,200,200,231,233,2,140738361
233,203,2017,200,200,200,231,233,2,140738362
233,203,2018,200,200,200,231,233,2,140738363
233,203,2015,200,200,200,231,233,2,140738364
233,203,2015,200,200,200,231,233,2,140738365
233,203,2015,200,200,200,231,233,2,140738366
233,203,2019,200,200,200,231,233,2,140738367
233,203,2018,200,200,200,231,233,2,140738368
233,203,2017,200,200,200,231,233,2,140738369
233,203,2017,200,200,200,231,233,2,140738370
233,203,2015,200,200,200,231,233,2,140738371
233,203,2016,200,200,200,231,233,2,140738372
233,203,2015,200,200,200,231,233,2,140738373
233,203,2016,200,200,200,231,233,2,140738374
233,203,2015,200,200,200,231,233,2,140738375
233,203,2015,200,200,200,231,233,2,140738376
233,203,2017,200,200,200,231,233,2,140738377
233,203,2017,200,200,200,231,233,2,140738378
233,203,2016,200,200,200,231,233,2,140738379
233,203,2019,200,200,200,231,233,2,140738380
233,203,2015,200,200,200,231,233,2,140738381
233,203,2015,200,200,200,231,233,2,140738382
233,203,2016,200,200,200,231,233,2,140738383
233,203,2015,200,200,200,231,233,2,140738384
233,203,2017,200,200,200,231,233,2,140738385
233,203,2016,200,200,200,231,233,2,140738386
233,203,2018,200,200,200,231,233,2,140738387
251,200,0,211,200,200,251,251,2,140738388
251,200,0,211,200,200,251,251,2,140738389
251,200,0,211,200,200,251,251,2,140738390
251,200,0,211,200,200,251,251,2,140738391
251,200,0,211,200,200,251,251,2,140738392
251,200,0,211,200,200,251,251,2,140738393
251,200,0,211,200,200,251,251,2,140738394
254,204,2019,200,200,200,251,251,2,140738395
251,200,0,211,200,200,251,251,2,140738396
251,200,0,211,200,200,251,251,2,140738397
251,200,0,211,200,200,251,251,2,140738398
251,200,0,211,200,200,251,251,2,140738399
251,200,0,211,200,200,251,251,2,140738400
251,200,0,211,200,200,251,251,2,140738401
251,200,0,211,200,200,251,251,2,140738402
251,200,0,211,200,200,251,251,2,140738403
251,200,0,211,200,200,251,251,2,140738404
251,200,0,211,200,200,251,251,2,140738405
254,204,2018,200,200,200,251,251,2,140738406
251,200,0,211,200,200,251,251,2,140738407
251,200,0,211,200,200,251,251,2,140738408
251,200,0,211,200,200,251,251,2,140738409
251,200,0,211,200,200,251,251,2,140738410
251,200,0,211,200,200,251,251,2,140738411
251,200,0,211,200,200,251,251,2,140738412
251,200,0,211,200,200,251,251,2,140738413
251,200,0,211,200,200,251,251,2,140738414
251,200,2017,211,200,200,251,251,2,140738415
251,200,0,211,200,200,251,251,2,140738416
251,200,0,211,200,200,251,251,2,140738417
333,303,2017,300,300,300,331,333,3,140738418
333,303,2017,300,300,300,331,333,3,140738419
333,303,2019,300,300,300,331,333,3,140738420
333,303,2015,300,300,300,331,333,3,140738421
333,303,2019,300,300,300,331,333,3,140738422
333,303,2019,300,300,300,331,333,3,140738423
333,303,2016,300,300,300,331,333,3,140738424
333,303,2019,300,300,300,331,333,3,140738425
333,303,2019,300,300,300,331,333,3,140738426
333,303,2019,300,300,300,331,333,3,140738427
333,303,2015,300,300,300,331,333,3,140738428
333,303,2015,300,300,300,331,333,3,140738429
333,303,2019,300,300,300,331,333,3,140738430
333,303,2017,300,300,300,331,333,3,140738431
333,303,2017,300,300,300,331,333,3,140738432
144,104,2015,111,100,100,141,141,1,139378062
144,104,2019,111,100,100,141,141,1,139378063
144,104,2017,111,100,100,141,141,1,139378064
144,104,2016,111,100,100,141,141,1,139378065
143,103,2017,111,100,100,141,141,1,139378066
143,103,2017,111,100,100,141,141,1,139378067
144,104,2019,111,100,100,141,141,1,139378068
