strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,plot_id
200,0,200,222,200,221,221,2,139377983
200,0,200,222,200,221,221,2,139377984
200,0,200,222,200,221,221,2,139377985
200,0,200,212,200,221,221,2,139377986
200,0,200,222,200,221,221,2,139377987
200,0,200,222,200,221,221,2,139377988
200,0,200,222,200,221,221,2,139377989
200,0,200,222,200,221,221,2,139377990
200,0,200,222,200,221,221,2,139377991
204,2017,200,200,200,231,231,2,139377992
204,2018,200,200,200,231,231,2,139377993
204,2018,200,200,200,231,231,2,139377994
204,2019,200,200,200,231,231,2,139377995
204,2019,200,200,200,231,231,2,139377996
204,2017,200,200,200,231,231,2,139377997
204,2017,200,200,200,231,231,2,139377998
204,2019,200,200,200,231,231,2,139377999
204,2018,200,200,200,231,231,2,139378000
204,2019,200,200,200,231,231,2,139378001
204,2018,211,200,200,241,241,2,139378002
204,2019,211,200,200,241,241,2,139378003
204,2019,211,200,200,241,241,2,139378004
204,2019,211,200,200,241,241,2,139378005
204,2019,211,200,200,241,241,2,139378006
204,2019,211,200,200,241,241,2,139378007
204,2018,211,200,200,241,241,2,139378008
203,2018,211,200,200,241,241,2,139378009
204,2017,211,200,200,241,241,2,139378010
204,2017,211,200,200,241,241,2,139378011
204,2018,211,200,200,241,241,2,139378012
204,2018,211,200,200,241,241,2,139378013
204,2018,211,200,200,241,241,2,139378014
204,2017,211,200,200,241,241,2,139378015
203,2015,211,200,200,241,241,2,139378016
204,2019,211,200,200,241,241,2,139378017
204,2018,211,200,200,241,241,2,139378018
204,2015,211,200,200,241,241,2,139378019
204,2018,211,200,200,241,241,2,139378020
204,2015,211,200,200,241,241,2,139378021
300,0,300,300,300,300,300,3,139430105
300,0,300,300,300,300,300,3,139430106
300,0,300,300,300,300,300,3,139430107
300,0,300,300,300,300,300,3,139430108
300,0,300,300,300,300,300,3,139430109
300,0,300,300,300,300,300,3,139430110
300,0,300,300,300,300,300,3,139430111
300,0,300,300,300,300,300,3,139430112
300,0,300,300,300,300,300,3,139430113
300,0,300,300,300,300,300,3,139430114
300,0,300,300,300,300,300,3,139430115
300,0,300,300,300,300,300,3,139430116
300,0,300,300,300,300,300,3,139430117
300,0,300,300,300,300,300,3,139430118
300,2019,300,300,300,300,300,3,139430119
200,0,200,200,200,200,200,2,139430120
200,0,200,200,200,200,200,2,139430121
200,0,200,200,200,200,200,2,139430122
200,0,200,200,200,200,200,2,139430123
200,0,200,200,200,200,200,2,139430124
200,0,200,200,200,200,200,2,139430125
200,0,200,200,200,200,200,2,139430126
200,0,200,200,200,200,200,2,139430127
200,0,200,200,200,200,200,2,139430128
200,0,200,200,200,200,200,2,139430129
200,0,200,200,200,200,200,2,139430130
200,0,200,200,200,200,200,2,139430131
200,0,200,200,200,200,200,2,139430132
200,0,200,200,200,200,200,2,139430133
200,0,200,200,200,200,200,2,139430134
100,0,100,100,100,100,100,1,139430135
100,0,100,100,100,100,100,1,139430136
100,0,100,100,100,100,100,1,139430137
100,0,100,100,100,100,100,1,139430138
100,0,100,100,100,100,100,1,139430139
100,0,100,100,100,100,100,1,139430140
100,0,100,100,100,100,100,1,139430141
100,0,100,100,100,100,100,1,139430142
100,0,100,100,100,100,100,1,139430143
100,0,100,100,100,100,100,1,139430144
100,0,100,100,100,100,100,1,139430145
100,0,100,100,100,100,100,1,139430146
100,0,100,100,100,100,100,1,139430147
100,0,100,100,100,100,100,1,139430148
100,0,100,100,100,100,100,1,139430149
