strata_coded,strata_coded_v2,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out,svk_forests,plot_id
100,111,0,111,100,100,111,100,139378029
100,111,0,111,100,100,111,100,139378030
100,111,0,111,100,100,111,100,139378031
100,121,0,100,122,100,121,100,139378032
100,121,0,100,122,100,121,100,139378033
100,121,0,100,122,100,121,100,139378034
100,121,0,100,122,100,121,100,139378035
100,121,0,100,122,100,121,100,139378036
100,121,0,100,122,100,121,100,139378037
100,121,0,100,122,100,121,100,139378038
100,121,0,100,122,100,121,100,139378039
100,121,0,100,122,100,121,100,139378040
100,121,0,100,112,100,121,100,139378041
104,131,2015,100,100,100,131,100,139378042
104,131,2018,100,100,100,131,100,139378043
104,131,2018,100,100,100,131,100,139378044
104,131,2017,100,100,100,131,100,139378045
104,131,2018,100,100,100,131,100,139378046
104,131,2018,100,100,100,131,100,139378047
103,133,2016,100,100,100,131,100,139378048
104,131,2017,100,100,100,131,100,139378049
104,131,2016,100,100,100,131,100,139378050
104,131,2015,100,100,100,131,100,139378051
104,141,2018,111,100,100,141,100,139378052
104,141,2016,111,100,100,141,100,139378053
104,141,2016,111,100,100,141,100,139378054
103,141,2015,111,100,100,141,100,139378055
104,141,2018,111,100,100,141,100,139378056
104,141,2016,111,100,100,141,100,139378057
104,141,2015,111,100,100,141,100,139378058
104,141,2018,111,100,100,141,100,139378059
104,141,2016,111,100,100,141,100,139378060
103,141,2015,111,100,100,141,100,139378061
103,133,2015,100,100,100,131,100,140738328
103,133,2016,100,100,100,131,100,140738329
103,133,2015,100,100,100,131,100,140738330
103,133,2015,100,100,100,131,100,140738331
103,133,2016,100,100,100,131,100,140738332
103,133,2017,100,100,100,131,100,140738333
103,133,2017,100,100,100,131,100,140738334
103,133,2015,100,100,100,131,100,140738335
103,133,2016,100,100,100,131,100,140738336
103,133,2018,100,100,100,131,100,140738337
103,133,2015,100,100,100,131,100,140738338
103,133,2017,100,100,100,131,100,140738339
103,133,2016,100,100,100,131,100,140738340
103,133,2016,100,100,100,131,100,140738341
103,133,2016,100,100,100,131,100,140738342
103,133,2017,100,100,100,131,100,140738343
103,133,2016,100,100,100,131,100,140738344
103,133,2016,100,100,100,131,100,140738345
103,133,2017,100,100,100,131,100,140738346
103,133,2015,100,100,100,131,100,140738347
103,133,2015,100,100,100,131,100,140738348
103,133,2015,100,100,100,131,100,140738349
103,133,2017,100,100,100,131,100,140738350
103,133,2016,100,100,100,131,100,140738351
103,133,2017,100,100,100,131,100,140738352
103,133,2016,100,100,100,131,100,140738353
103,133,2016,100,100,100,131,100,140738354
103,133,2016,100,100,100,131,100,140738355
103,133,2016,100,100,100,131,100,140738356
103,133,2015,100,100,100,131,100,140738357
203,233,2015,200,200,200,231,200,140738358
203,233,2016,200,200,200,231,200,140738359
203,233,2016,200,200,200,231,200,140738360
203,233,2016,200,200,200,231,200,140738361
203,233,2017,200,200,200,231,200,140738362
203,233,2018,200,200,200,231,200,140738363
203,233,2015,200,200,200,231,200,140738364
203,233,2015,200,200,200,231,200,140738365
203,233,2015,200,200,200,231,200,140738366
203,233,2019,200,200,200,231,200,140738367
203,233,2018,200,200,200,231,200,140738368
203,233,2017,200,200,200,231,200,140738369
203,233,2017,200,200,200,231,200,140738370
203,233,2015,200,200,200,231,200,140738371
203,233,2016,200,200,200,231,200,140738372
203,233,2015,200,200,200,231,200,140738373
203,233,2016,200,200,200,231,200,140738374
203,233,2015,200,200,200,231,200,140738375
203,233,2015,200,200,200,231,200,140738376
203,233,2017,200,200,200,231,200,140738377
203,233,2017,200,200,200,231,200,140738378
203,233,2016,200,200,200,231,200,140738379
203,233,2019,200,200,200,231,200,140738380
203,233,2015,200,200,200,231,200,140738381
203,233,2015,200,200,200,231,200,140738382
203,233,2016,200,200,200,231,200,140738383
203,233,2015,200,200,200,231,200,140738384
203,233,2017,200,200,200,231,200,140738385
203,233,2016,200,200,200,231,200,140738386
203,233,2018,200,200,200,231,200,140738387
200,251,0,251,200,200,251,200,140738388
200,251,0,251,200,200,251,200,140738389
200,251,0,251,200,200,251,200,140738390
200,251,0,251,200,200,251,200,140738391
200,251,0,251,200,200,251,200,140738392
200,251,0,251,200,200,251,200,140738393
200,251,0,251,200,200,251,200,140738394
251,251,251,200,200,0,251,200,140738395
200,251,0,251,200,200,251,200,140738396
200,251,0,251,200,200,251,200,140738397
200,251,0,251,200,200,251,200,140738398
200,251,0,251,200,200,251,200,140738399
200,251,0,251,200,200,251,200,140738400
200,251,0,251,200,200,251,200,140738401
200,251,0,251,200,200,251,200,140738402
200,251,0,251,200,200,251,200,140738403
