Forest_Typ,lat,lon,pl_coded,pl_codedla,pl_fcdm,pl_fcdmlat,pl_frel,pl_plotid,pl_samplei,pl_strata1,pl_strata_,pl_union_d,plot_id,sample_id,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out,svk_forests
,16.93194055,106.4065683,0,0,0,0,0,21,21,No detected degradation,0,0,139430126,543463305,200,0,200,200,200,200,200
,16.25982105,105.5479585,0,0,0,0,0,22,22,No detected degradation,0,0,139430127,543463306,200,0,200,200,200,200,200
,16.72658567,106.3187131,0,0,0,0,0,23,23,No detected degradation,0,0,139430128,543463307,200,0,200,200,200,200,200
,16.96185445,106.1411161,0,0,0,0,0,24,24,No detected degradation,0,0,139430129,543463308,200,0,200,200,200,200,200
,16.38351907,106.2583463,0,0,0,0,0,25,25,No detected degradation,0,0,139430130,543463309,200,0,200,200,200,200,200
,16.54198188,105.3218526,0,0,0,0,0,26,26,No detected degradation,0,0,139430131,543463310,200,0,200,200,200,200,200
,17.05078766,105.4218351,0,0,0,0,0,27,27,No detected degradation,0,0,139430132,543463311,200,0,200,200,200,200,200
,16.28973495,105.6638412,0,0,0,0,0,28,28,No detected degradation,0,0,139430133,543463312,200,0,200,200,200,200,200
,16.66756636,106.5545208,0,0,0,0,0,29,29,No detected degradation,0,0,139430134,543463313,200,0,200,200,200,200,200
,16.75757755,105.6867483,0,0,0,0,0,30,30,No detected degradation,0,0,139430135,543463314,100,0,100,100,100,100,100
,16.10647863,105.9457326,0,0,0,0,0,31,31,No detected degradation,0,0,139430136,543463315,100,0,100,100,100,100,100
,16.11483297,105.6549479,0,0,0,0,0,32,32,No detected degradation,0,0,139430137,543463316,100,0,100,100,100,100,100
,16.43391455,106.1974405,0,0,0,0,0,33,33,No detected degradation,0,0,139430138,543463317,100,0,100,100,100,100,100
,16.47353026,106.0122977,0,0,0,0,0,34,34,No detected degradation,0,0,139430139,543463318,100,0,100,100,100,100,100
,16.22640372,106.4259719,0,0,0,0,0,35,35,No detected degradation,0,0,139430140,543463319,100,0,100,100,100,100,100
,16.10647863,106.100153,0,0,0,0,0,36,36,No detected degradation,0,0,139430141,543463320,100,0,100,100,100,100,100
,16.09947177,105.9621717,0,0,0,0,0,37,37,No detected degradation,0,0,139430142,543463321,100,0,100,100,100,100,100
,16.96131546,105.4285724,0,0,0,0,0,38,38,No detected degradation,0,0,139430143,543463322,100,0,100,100,100,100,100
,17.03219253,106.2319358,0,0,0,0,0,39,39,No detected degradation,0,0,139430144,543463323,100,0,100,100,100,100,100
,16.83788694,105.7711001,0,0,0,0,0,40,40,No detected degradation,0,0,139430145,543463324,100,0,100,100,100,100,100
,16.89690625,105.6829753,0,0,0,0,0,41,41,No detected degradation,0,0,139430146,543463325,100,0,100,100,100,100,100
,16.53174109,106.1553993,0,0,0,0,0,42,42,No detected degradation,0,0,139430147,543463326,100,0,100,100,100,100,100
,16.79746275,105.725286,0,0,0,0,0,43,43,No detected degradation,0,0,139430148,543463327,100,0,100,100,100,100,100
,16.89501979,105.6161407,0,0,0,0,0,44,44,No detected degradation,0,0,139430149,543463328,100,0,100,100,100,100,100
,16.92708965,104.8701797,0,0,0,0,0,0,0,No detected degradation,0,0,139430105,543463284,300,0,300,300,300,300,300
,16.01592845,105.7670576,0,0,0,0,0,1,1,No detected degradation,0,0,139430106,543463285,300,0,300,300,300,300,300
,16.04934578,105.277925,0,0,0,0,0,2,2,No detected degradation,0,0,139430107,543463286,300,0,300,300,300,300,300
,16.12157033,105.2563654,0,0,0,0,0,3,3,No detected degradation,0,0,139430108,543463287,300,0,300,300,300,300,300
MX,16.17897268,105.9317188,0,0,1,2015,0,4,4,FCDM detected degradation,11,0,139377976,542572885,200,0,211,200,200,211,200
MX,16.50074921,105.875664,0,0,1,2015,0,6,6,FCDM detected degradation,11,0,139377978,542572887,200,0,211,200,200,211,200
EV,16.21185102,106.1190176,0,0,1,2015,0,0,0,FCDM detected degradation,11,0,139378022,542572931,100,0,111,100,100,111,100
EV,16.92628116,105.6137152,0,0,1,2015,0,1,1,FCDM detected degradation,11,0,139378023,542572932,100,0,111,100,100,111,100
EV,16.55734308,106.1351873,0,0,1,2015,0,2,2,FCDM detected degradation,11,0,139378024,542572933,100,0,111,100,100,111,100
EV,16.60908604,106.3117062,0,0,1,2015,0,4,4,FCDM detected degradation,11,0,139378026,542572935,100,0,111,100,100,111,100
MX,16.69370734,105.8357788,0,0,1,2016,0,2,2,FCDM detected degradation,11,0,139377974,542572883,200,0,211,200,200,211,200
MX,16.19325589,105.9813058,0,0,1,2016,0,9,9,FCDM detected degradation,11,0,139377981,542572890,200,0,211,200,200,211,200
DD,16.74059939,105.3741345,0,0,1,2016,0,0,0,FCDM detected degradation,11,0,139342225,542028351,300,0,311,300,300,311,300
DD,16.70906853,105.3954246,0,0,1,2016,0,8,8,FCDM detected degradation,11,0,139342233,542028359,300,0,311,300,300,311,300
EV,16.63522701,106.1200956,0,0,1,2016,0,7,7,FCDM detected degradation,11,0,139378029,542572938,100,0,111,100,100,111,100
EV,16.46625391,106.2429851,0,0,1,2016,0,8,8,FCDM detected degradation,11,0,139378030,542572939,100,0,111,100,100,111,100
MX,16.75191817,105.8794369,0,0,1,2017,0,1,1,FCDM detected degradation,11,0,139377973,542572882,200,0,211,200,200,211,200
MX,16.48080661,105.8026309,0,0,1,2017,0,8,8,FCDM detected degradation,11,0,139377980,542572889,200,0,211,200,200,211,200
DD,16.15444867,105.6209916,0,0,1,2017,0,5,5,FCDM detected degradation,11,0,139342230,542028356,300,0,311,300,300,311,300
DD,16.82117827,105.1059874,0,0,1,2017,0,7,7,FCDM detected degradation,11,0,139342232,542028358,300,0,311,300,300,311,300
EV,16.47730318,106.2284324,0,0,1,2017,0,6,6,FCDM detected degradation,11,0,139378028,542572937,100,0,111,100,100,111,100
EV,16.21427647,106.222773,0,0,1,2017,0,9,9,FCDM detected degradation,11,0,139378031,542572940,100,0,111,100,100,111,100
MX,16.8397734,106.543741,0,0,1,2018,0,0,0,FCDM detected degradation,11,0,139377972,542572881,200,0,211,200,200,211,200
MX,16.72928062,105.3447596,0,0,1,2018,0,3,3,FCDM detected degradation,11,0,139377975,542572884,200,0,211,200,200,211,200
MX,16.81875282,106.3831223,0,0,1,2018,0,7,7,FCDM detected degradation,11,0,139377979,542572888,200,0,211,200,200,211,200
DD,16.51018152,105.3183492,0,0,1,2018,0,3,3,FCDM detected degradation,11,0,139342228,542028354,300,0,311,300,300,311,300
DD,16.52446474,105.8336228,0,0,1,2018,0,4,4,FCDM detected degradation,11,0,139342229,542028355,300,0,311,300,300,311,300
EV,16.96886131,105.4665712,0,0,1,2018,0,5,5,FCDM detected degradation,11,0,139378027,542572936,100,0,111,100,100,111,100
MX,16.69370734,106.0284674,0,0,1,2019,0,5,5,FCDM detected degradation,11,0,139377977,542572886,200,0,211,200,200,211,200
DD,16.37543423,105.9384562,0,0,1,2019,0,1,1,FCDM detected degradation,11,0,139342226,542028352,300,0,311,300,300,311,300
DD,16.84543279,105.2878963,0,0,1,2019,0,2,2,FCDM detected degradation,11,0,139342227,542028353,300,0,311,300,300,311,300
DD,16.30401816,106.0352048,0,0,1,2019,0,6,6,FCDM detected degradation,11,0,139342231,542028357,300,0,311,300,300,311,300
DD,17.06695734,105.1615033,0,0,1,2019,0,9,9,FCDM detected degradation,11,0,139342234,542028360,300,0,311,300,300,311,300
