plot_id,lon,lat
139342255,105.1636593,17.00281762
139342256,105.1997715,16.69370734
139342257,105.275769,16.20646113
139342258,105.129703,16.7503012
139342259,105.4549829,16.24526835
139342260,105.0601734,16.4169364
139342261,105.0343019,16.28407557
139342262,105.003849,17.01710084
139342263,105.0046575,16.46005553
139342264,106.1645622,16.28407557
139342265,104.9141073,16.97101726
139342266,105.1571914,16.859716
139342267,105.3851838,16.08438008
139342268,104.879612,16.7303586
139342269,105.1043705,16.262516
139342270,105.1439862,16.11079055
139342271,104.9434822,16.85243965
139342272,105.1763255,16.62687268
139342273,105.0138203,16.60396564
139342274,105.2154022,16.62741167
139378022,106.1190176,16.21185102
139378023,105.6137152,16.92628116
139378024,106.1351873,16.55734308
139378025,106.7350822,16.39753279
139378026,106.3117062,16.60908604
139378027,105.4665712,16.96886131
139378028,106.2284324,16.47730318
139378029,106.1200956,16.63522701
139378030,106.2429851,16.46625391
139378031,106.222773,16.21427647
139378032,105.6673447,16.79261185
139378033,106.1421941,16.85217015
139378034,106.1478535,16.84543279
139378035,105.6668057,16.79395932
139378036,106.1179396,16.56300246
139378037,106.6132706,16.32665571
139378038,106.1068903,16.87049578
139378039,105.5821844,16.23906997
139378040,105.6940246,16.74598928
139378041,105.5202006,16.92035228
139378042,106.6116537,16.33770499
139378043,105.6907907,16.97829362
139378044,106.2747854,16.56785336
139378045,105.9106983,16.77401672
139378046,106.3297623,16.42582972
139378047,106.1645622,16.85782954
139378048,106.1907031,16.83573098
139378049,105.9112373,16.48565752
139378050,105.750888,16.81309344
139378051,106.198249,16.84678026
139378052,106.5189475,16.22290029
139378053,105.7034569,16.65759506
139378054,106.1179396,16.11752791
139378055,106.4909201,16.2326021
139378056,106.174264,16.85351762
139378057,105.922017,16.810129
139378058,105.7349878,16.09003946
139378059,106.2893382,16.49401185
139378060,106.0486795,16.6354965
139378061,106.2284324,16.61151149
139378062,106.0635017,16.84327683
139378063,105.5110378,16.21050354
139378064,106.148662,16.84947521
139378065,105.5358313,16.93140156
139378066,106.495232,16.21589344
139378067,105.6282679,16.12992466
139378068,106.0020569,16.15417918
139378069,106.6353692,16.30267069
139378070,105.9047694,16.80581708
