LON,LAT,PLOTID,ERPD_LON,ERPD_LAT
101.5127694,19.61132214,630,101.5127694,19.61132214
101.3552323,18.92060361,631,101.3552323,18.92060361
100.9126454,20.0054546,632,100.9126454,20.0054546
101.3482813,20.93197713,633,101.3482813,20.93197713
101.5790297,18.63133138,634,101.5790297,18.63133138
101.4069953,19.40224263,635,101.4069953,19.40224263
103.1512494,20.37220792,636,103.1512494,20.37220792
102.4533593,19.66530168,637,102.4533593,19.66530168
100.7167181,20.24125553,638,100.7167181,20.24125553
102.9554253,20.11627485,639,102.9554253,20.11627485
102.6768227,20.50546698,640,102.6768227,20.50546698
101.9949348,19.96562102,641,101.9949348,19.96562102
100.2132287,20.35346132,642,100.2132287,20.35346132
103.3500365,20.6836408,643,103.3500365,20.6836408
103.8963341,20.37370848,644,103.8963341,20.37370848
103.5456027,20.46805895,645,103.5456027,20.46805895
101.1997037,21.30203124,646,101.1997037,21.30203124
101.569489,20.63341045,647,101.569489,20.63341045
100.7227189,20.76296205,648,100.7227189,20.76296205
102.306787,19.57457361,649,102.306787,19.57457361
100.273939,20.48813034,650,100.273939,20.48813034
100.7550295,19.9751061,651,100.7550295,19.9751061
101.4964379,20.47352745,652,101.4964379,20.47352745
101.4129299,20.26666614,653,101.4129299,20.26666614
101.2021717,20.70779014,654,101.2021717,20.70779014
100.7610291,20.26245179,655,100.7610291,20.26245179
103.0053589,20.2597582,656,103.0053589,20.2597582
101.4925706,20.85220822,657,101.4925706,20.85220822
102.6244236,20.62382058,658,102.6244236,20.62382058
101.4910308,19.26414846,659,101.4910308,19.26414846
103.6320533,20.0373466,660,103.6320533,20.0373466
101.8977542,19.38789036,661,101.8977542,19.38789036
100.4357649,20.4382098,662,100.4357649,20.4382098
104.0220017,19.91587788,663,104.0220017,19.91587788
102.0019917,20.29406254,664,102.0019917,20.29406254
101.4758457,17.85824629,665,101.4758457,17.85824629
102.1639593,20.12416071,666,102.1639593,20.12416071
101.5830921,20.17991681,667,101.5830921,20.17991681
100.6504342,20.32903415,668,100.6504342,20.32903415
101.5641612,19.63454631,669,101.5641612,19.63454631
103.7340207,20.05460969,670,103.7340207,20.05460969
102.4057465,19.7219859,671,102.4057465,19.7219859
104.6703972,19.85201832,672,104.6703972,19.85201832
101.0897476,21.12759694,673,101.0897476,21.12759694
103.3544316,20.20287895,674,103.3544316,20.20287895
102.2767059,20.63053579,675,102.2767059,20.63053579
102.2237993,20.43879912,676,102.2237993,20.43879912
102.2567482,19.45787046,677,102.2567482,19.45787046
101.4228696,19.7822438,678,101.4228696,19.7822438
103.2290367,20.83741886,679,103.2290367,20.83741886
102.6376819,19.49571006,680,102.6376819,19.49571006
101.4328918,20.01095417,681,101.4328918,20.01095417
103.4861296,20.75380918,682,103.4861296,20.75380918
104.2496499,19.94412436,683,104.2496499,19.94412436
102.0327174,20.30093958,684,102.0327174,20.30093958
102.4220456,20.60664835,685,102.4220456,20.60664835
101.676123,20.11516413,686,101.676123,20.11516413
101.9949301,20.96222195,687,101.9949301,20.96222195
102.7712476,20.89264712,688,102.7712476,20.89264712
101.7177277,18.94220517,689,101.7177277,18.94220517
103.4059519,20.73793601,690,103.4059519,20.73793601
100.7314323,19.70282577,691,100.7314323,19.70282577
101.858521,21.0532389,692,101.858521,21.0532389
100.6461193,19.63411067,693,100.6461193,19.63411067
103.8567854,20.38937873,694,103.8567854,20.38937873
101.2845417,18.19053214,695,101.2845417,18.19053214
101.2172947,20.70933903,696,101.2172947,20.70933903
104.3335708,20.64934226,697,104.3335708,20.64934226
101.6286422,20.0949333,698,101.6286422,20.0949333
103.7556872,20.15450301,699,103.7556872,20.15450301
100.950472,20.96668108,700,100.950472,20.96668108
104.3325055,20.00722802,701,104.3325055,20.00722802
101.1135145,17.85490256,702,101.1135145,17.85490256
101.9760346,19.88794379,703,101.9760346,19.88794379
101.7036218,19.06638983,704,101.7036218,19.06638983
101.1539387,17.64829352,705,101.1539387,17.64829352
104.3939609,20.12490449,706,104.3939609,20.12490449
102.2804997,19.65641499,707,102.2804997,19.65641499
104.0233024,20.88253495,708,104.0233024,20.88253495
104.4034559,19.91246748,709,104.4034559,19.91246748
101.7324893,19.07807176,710,101.7324893,19.07807176
101.8423718,19.65475319,711,101.8423718,19.65475319
104.1263034,20.24336495,712,104.1263034,20.24336495
