post_strat_coded,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,GIS,CEO,,MISSING CEO PLOTS,CEO LON,CEO LAT
344,304,2019,311,300,300,341,341,3,139342269,139342269,TRUE,,,
344,304,2018,311,300,300,341,341,3,139342270,139342270,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342271,139342271,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342272,139342272,TRUE,,,
344,304,2016,311,300,300,341,341,3,139342273,139342273,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342274,139342274,TRUE,,,
211,200,0,211,200,200,211,211,2,139377972,139377972,TRUE,,,
211,200,0,211,200,200,211,211,2,139377973,139377973,TRUE,,,
211,200,0,211,200,200,211,211,2,139377974,139377974,TRUE,,,
211,200,0,211,200,200,211,211,2,139377975,139377975,TRUE,,,
211,200,0,211,200,200,211,211,2,139377976,139377976,TRUE,,,
211,200,0,211,200,200,211,211,2,139377977,139377977,TRUE,,,
211,200,0,211,200,200,211,211,2,139377978,139377978,TRUE,,,
211,200,0,211,200,200,211,211,2,139377979,139377979,TRUE,,,
211,200,0,211,200,200,211,211,2,139377980,139377980,TRUE,,,
211,200,0,211,200,200,211,211,2,139377981,139377981,TRUE,,,
221,200,0,200,222,200,221,221,2,139377982,139377982,TRUE,,,
221,200,0,200,222,200,221,221,2,139377983,139377983,TRUE,,,
221,200,0,200,222,200,221,221,2,139377984,139377984,TRUE,,,
221,200,0,200,222,200,221,221,2,139377985,139377985,TRUE,,,
221,200,0,200,212,200,221,221,2,139377986,139377986,TRUE,,,
221,200,0,200,222,200,221,221,2,139377987,139377987,TRUE,,,
221,200,0,200,222,200,221,221,2,139377988,139377988,TRUE,,,
221,200,0,200,222,200,221,221,2,139377989,139377989,TRUE,,,
221,200,0,200,222,200,221,221,2,139377990,139377990,TRUE,,,
221,200,0,200,222,200,221,221,2,139377991,139377991,TRUE,,,
231,204,2017,200,200,200,231,231,2,139377992,139377992,TRUE,,,
231,204,2018,200,200,200,231,231,2,139377993,139377993,TRUE,,,
231,204,2018,200,200,200,231,231,2,139377994,139377994,TRUE,,,
231,204,2019,200,200,200,231,231,2,139377995,139377995,TRUE,,,
231,204,2019,200,200,200,231,231,2,139377996,139377996,TRUE,,,
231,204,2017,200,200,200,231,231,2,139377997,139377997,TRUE,,,
231,204,2017,200,200,200,231,231,2,139377998,139377998,TRUE,,,
231,204,2019,200,200,200,231,231,2,139377999,139377999,TRUE,,,
231,204,2018,200,200,200,231,231,2,139378000,139378000,TRUE,,,
231,204,2019,200,200,200,231,231,2,139378001,139378001,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378002,139378002,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378003,139378003,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378004,139378004,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378005,139378005,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378006,139378006,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378007,139378007,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378008,139378008,TRUE,,,
243,203,2018,211,200,200,241,241,2,139378009,139378009,TRUE,,,
244,204,2017,211,200,200,241,241,2,139378010,139378010,TRUE,,,
